Bin name	Completeness	Genome size	GC content
ERR209470.026.fasta	59.8%	3194341	40.9
ERR209470.027.fasta	45.8%	1524564	37.2
Bin name	Completeness	Genome size	GC content
ERR209520.001.fasta	96.3%	3146717	46.0
ERR209520.002.fasta	96.3%	3676091	37.8
ERR209520.003.fasta	50.5%	1922044	45.9
ERR209520.004.fasta	60.7%	1587378	33.3
Bin name	Completeness	Genome size	GC content
ERR209671.001.fasta	3.7%	590363	40.9
ERR209671.002.fasta	86.9%	6331692	40.5
ERR209671.003.fasta	86.9%	5132233	47.3
ERR209671.004.fasta	85.0%	2676430	41.9
ERR209671.005.fasta	64.5%	3596778	42.3
ERR209671.006.fasta	96.3%	2177470	40.8
ERR209671.007.fasta	48.6%	2235217	58.4
ERR209671.008.fasta	57.9%	4209182	42.3
ERR209671.009.fasta	20.6%	3194866	36.6
ERR209671.010.fasta	71.0%	3551710	43.3
ERR209671.011.fasta	20.6%	1706815	49.0
ERR209671.012.fasta	88.8%	2968068	41.3
ERR209671.013.fasta	91.6%	2549664	37.5
ERR209671.014.fasta	75.7%	3063391	42.4
ERR209671.015.fasta	94.4%	2638630	41.6
ERR209671.016.fasta	50.5%	3645857	59.0
ERR209671.017.fasta	70.1%	4296942	50.2
ERR209671.018.fasta	44.9%	5339230	41.6
ERR209671.019.fasta	96.3%	1656641	26.8
ERR209671.020.fasta	49.5%	2538533	45.9
ERR209671.021.fasta	88.8%	2663391	56.1
ERR209671.022.fasta	57.0%	1506788	38.1
ERR209671.023.fasta	70.1%	6918642	37.7
ERR209671.024.fasta	49.5%	3046449	48.4
ERR209671.025.fasta	85.0%	2772631	48.8
ERR209671.026.fasta	64.5%	4328287	45.6
ERR209671.027.fasta	53.3%	5191278	42.8
ERR209671.028.fasta	12.1%	3865115	33.9
ERR209671.029.fasta	64.5%	1722523	43.2
ERR209671.030.fasta	71.0%	2098385	36.2
ERR209671.031.fasta	86.9%	1515630	27.2
ERR209671.032.fasta	72.0%	1695840	39.9
ERR209671.033.fasta	49.5%	1892919	42.1
ERR209671.034.fasta	51.4%	2530654	42.8
Bin name	Completeness	Genome size	GC content
ERR209692.001.fasta	0.0%	127436	42.8
ERR209692.002.fasta	3.7%	235111	43.0
ERR209692.003.fasta	94.4%	3969051	41.3
ERR209692.004.fasta	38.3%	810305	39.8
ERR209692.005.fasta	66.4%	3572709	42.8
ERR209692.006.fasta	97.2%	1831345	47.2
ERR209692.007.fasta	57.0%	4812807	46.1
ERR209692.008.fasta	29.0%	2274400	40.3
ERR209692.009.fasta	48.6%	3360721	48.5
ERR209692.010.fasta	91.6%	2267240	42.6
ERR209692.011.fasta	95.3%	2797204	37.3
ERR209692.012.fasta	96.3%	3659120	34.2
ERR209692.013.fasta	97.2%	3070803	37.3
ERR209692.014.fasta	68.2%	1837619	49.9
ERR209692.015.fasta	91.6%	4301825	45.5
ERR209692.016.fasta	55.1%	1643543	61.1
ERR209692.017.fasta	57.9%	1629018	58.0
ERR209692.018.fasta	57.9%	2623353	60.0
ERR209692.019.fasta	29.0%	3652252	51.4
ERR209692.020.fasta	50.5%	3344478	45.2
ERR209692.021.fasta	79.4%	2263573	55.7
ERR209692.022.fasta	85.0%	3061889	47.1
ERR209692.023.fasta	60.7%	4846749	39.6
ERR209692.024.fasta	34.6%	2300048	57.7
ERR209692.025.fasta	78.5%	2086040	41.9
ERR209692.026.fasta	73.8%	4923966	44.7
ERR209692.027.fasta	46.7%	2085219	59.5
ERR209692.028.fasta	76.6%	5594341	38.5
ERR209692.029.fasta	67.3%	5824238	34.7
ERR209692.030.fasta	79.4%	4734892	43.0
ERR209692.031.fasta	77.6%	4242747	29.8
ERR209692.032.fasta	49.5%	2734728	43.4
ERR209692.033.fasta	53.3%	1700353	38.8
Bin name	Completeness	Genome size	GC content
ERR209693.001.fasta	1.9%	178283	41.8
ERR209693.002.fasta	2.8%	311212	44.2
ERR209693.003.fasta	92.5%	3901807	41.3
ERR209693.004.fasta	99.1%	4478551	42.0
ERR209693.005.fasta	98.1%	1853197	47.2
ERR209693.006.fasta	60.7%	4579824	46.5
ERR209693.007.fasta	47.7%	3644489	47.4
ERR209693.008.fasta	97.2%	3971879	41.9
ERR209693.009.fasta	95.3%	2817979	37.2
ERR209693.010.fasta	96.3%	4023487	34.5
ERR209693.011.fasta	50.5%	1410670	50.9
ERR209693.012.fasta	42.1%	1852231	46.7
ERR209693.013.fasta	97.2%	3088903	37.4
ERR209693.014.fasta	87.9%	2112549	60.0
ERR209693.015.fasta	52.3%	1845541	60.5
ERR209693.016.fasta	93.5%	4446243	45.3
ERR209693.017.fasta	74.8%	4089283	41.1
ERR209693.018.fasta	61.7%	2559689	43.7
ERR209693.019.fasta	38.3%	2482865	52.5
ERR209693.020.fasta	89.7%	3662938	46.4
ERR209693.021.fasta	80.4%	2039447	56.4
ERR209693.022.fasta	44.9%	3329820	57.5
ERR209693.023.fasta	71.0%	5540982	43.7
ERR209693.024.fasta	82.2%	2659856	59.8
ERR209693.025.fasta	31.8%	1408124	60.3
ERR209693.026.fasta	46.7%	3306926	38.4
ERR209693.027.fasta	63.6%	1712021	59.8
ERR209693.028.fasta	28.0%	930533	42.8
ERR209693.029.fasta	25.2%	923634	40.3
ERR209693.030.fasta	48.6%	3521830	37.5
ERR209693.031.fasta	15.9%	483814	41.6
ERR209693.032.fasta	71.0%	5574331	34.5
ERR209693.033.fasta	78.5%	2130582	42.4
ERR209693.034.fasta	50.5%	535785	39.9
ERR209693.035.fasta	42.1%	3770665	43.7
ERR209693.036.fasta	86.9%	4465501	29.8
ERR209693.037.fasta	57.0%	3315598	43.4
ERR209693.038.fasta	27.1%	2770941	50.1
ERR209693.039.fasta	53.3%	1854816	38.9
Bin name	Completeness	Genome size	GC content
ERR209726.001.fasta	98.1%	2615302	40.7
ERR209726.002.fasta	96.3%	2236010	59.6
ERR209726.003.fasta	97.2%	2852226	55.4
ERR209726.004.fasta	70.1%	5193881	44.8
ERR209726.005.fasta	91.6%	1997510	45.5
ERR209726.006.fasta	96.3%	2282469	43.9
ERR209726.007.fasta	96.3%	4850327	38.0
ERR209726.008.fasta	4.7%	1657214	52.4
ERR209726.009.fasta	90.7%	2515496	42.4
ERR209726.010.fasta	99.1%	2008696	36.4
ERR209726.011.fasta	93.5%	2965552	58.5
ERR209726.012.fasta	84.1%	3404465	44.9
ERR209726.013.fasta	91.6%	2567005	59.9
ERR209726.014.fasta	55.1%	4623044	47.3
ERR209726.015.fasta	63.6%	2295761	62.6
ERR209726.016.fasta	92.5%	2559981	37.3
ERR209726.017.fasta	98.1%	2545586	45.2
ERR209726.018.fasta	3.7%	199572	55.1
ERR209726.019.fasta	6.5%	251963	52.1
ERR209726.020.fasta	82.2%	3862134	40.9
ERR209726.021.fasta	72.9%	1460878	59.0
ERR209726.022.fasta	27.1%	396157	53.6
ERR209726.023.fasta	94.4%	2634169	43.3
ERR209726.024.fasta	2.8%	489632	52.6
ERR209726.025.fasta	44.9%	988728	62.3
ERR209726.026.fasta	78.5%	2870830	48.8
ERR209726.027.fasta	68.2%	2240966	56.6
ERR209726.028.fasta	84.1%	2593857	60.0
ERR209726.029.fasta	1.9%	220767	55.1
ERR209726.030.fasta	38.3%	4622295	35.3
ERR209726.031.fasta	43.9%	2927467	39.5
ERR209726.032.fasta	7.5%	177081	52.4
ERR209726.033.fasta	59.8%	2335709	58.0
ERR209726.034.fasta	86.0%	3993608	47.8
ERR209726.035.fasta	46.7%	2340573	49.7
ERR209726.036.fasta	85.0%	3219961	43.8
ERR209726.037.fasta	57.9%	5125564	44.0
ERR209726.038.fasta	53.3%	2197592	55.6
ERR209726.039.fasta	41.1%	5506456	41.1
ERR209726.040.fasta	41.1%	1386168	53.5
ERR209726.041.fasta	42.1%	3158503	43.0
ERR209726.042.fasta	55.1%	2757819	29.6
ERR209726.043.fasta	68.2%	2063605	37.7
Bin name	Completeness	Genome size	GC content
ERR209731.001.fasta	37.4%	2718863	39.3
ERR209731.002.fasta	78.5%	2342984	41.3
ERR209731.003.fasta	57.9%	3082490	44.3
ERR209731.004.fasta	92.5%	5540223	41.2
ERR209731.005.fasta	97.2%	3124572	36.9
ERR209731.006.fasta	95.3%	4115909	44.4
ERR209731.007.fasta	56.1%	4255898	47.6
ERR209731.008.fasta	89.7%	4509859	50.1
ERR209731.009.fasta	82.2%	2474633	26.8
ERR209731.010.fasta	71.0%	1894703	43.1
ERR209731.011.fasta	52.3%	4244596	39.6
ERR209731.012.fasta	84.1%	1512610	49.8
ERR209731.013.fasta	88.8%	3077832	33.9
ERR209731.014.fasta	89.7%	2468353	44.4
ERR209731.015.fasta	86.9%	3679710	46.1
ERR209731.016.fasta	76.6%	2029443	42.5
ERR209731.017.fasta	55.1%	1441271	62.1
ERR209731.018.fasta	76.6%	3731755	43.0
ERR209731.019.fasta	31.8%	1204621	59.7
ERR209731.020.fasta	61.7%	3019356	51.4
Bin name	Completeness	Genome size	GC content
ERR209810.001.fasta	0.0%	105791	41.7
ERR209810.002.fasta	96.3%	3560214	45.0
ERR209810.003.fasta	84.1%	4621183	41.9
ERR209810.004.fasta	89.7%	3985027	47.9
ERR209810.005.fasta	43.0%	4382297	37.4
ERR209810.006.fasta	97.2%	2792182	37.6
ERR209810.007.fasta	93.5%	2970238	43.1
ERR209810.008.fasta	57.9%	2586402	48.2
ERR209810.009.fasta	64.5%	3945273	47.9
ERR209810.010.fasta	96.3%	4610269	37.6
ERR209810.011.fasta	81.3%	5126740	42.1
ERR209810.012.fasta	65.4%	1845390	58.2
ERR209810.013.fasta	62.6%	3066914	42.1
ERR209810.014.fasta	68.2%	2910137	53.9
ERR209810.015.fasta	54.2%	3040609	42.3
ERR209810.016.fasta	86.9%	4591407	44.1
ERR209810.017.fasta	66.4%	3522950	49.5
ERR209810.018.fasta	26.2%	4142558	32.9
ERR209810.019.fasta	62.6%	7727202	38.5
ERR209810.020.fasta	73.8%	5588031	42.9
ERR209810.021.fasta	59.8%	3754256	45.8
ERR209810.022.fasta	64.5%	1772542	47.3
ERR209810.023.fasta	54.2%	4580825	47.9
ERR209810.024.fasta	90.7%	4319804	43.3
ERR209810.025.fasta	69.2%	2315093	43.1
Bin name	Completeness	Genome size	GC content
ERR209812.001.fasta	62.6%	4382372	47.6
ERR209812.002.fasta	93.5%	5246922	41.8
ERR209812.003.fasta	42.1%	2696688	37.0
ERR209812.004.fasta	75.7%	2644251	47.7
ERR209812.005.fasta	98.1%	2927346	37.6
ERR209812.006.fasta	77.6%	4202396	44.7
ERR209812.007.fasta	90.7%	2681120	43.4
ERR209812.008.fasta	93.5%	2339320	51.1
ERR209812.009.fasta	34.6%	2085124	51.9
ERR209812.010.fasta	65.4%	7971965	43.9
ERR209812.011.fasta	97.2%	1999849	41.2
ERR209812.012.fasta	51.4%	7434775	39.0
ERR209812.013.fasta	82.2%	3849946	59.4
ERR209812.014.fasta	94.4%	1834334	45.7
ERR209812.015.fasta	86.9%	7371100	42.4
ERR209812.016.fasta	34.6%	3931422	33.7
ERR209812.017.fasta	91.6%	4810543	40.4
ERR209812.018.fasta	59.8%	6713616	47.3
ERR209812.019.fasta	85.0%	2966730	55.4
ERR209812.020.fasta	80.4%	4510143	42.3
Bin name	Completeness	Genome size	GC content
ERR209846.001.fasta	96.3%	3853063	44.7
ERR209846.002.fasta	62.6%	3917703	40.9
ERR209846.003.fasta	32.7%	1398576	42.5
ERR209846.004.fasta	20.6%	1594826	49.7
ERR209846.005.fasta	72.0%	2416141	42.4
ERR209846.006.fasta	7.5%	2655155	35.0
ERR209846.007.fasta	85.0%	2381882	36.1
ERR209846.008.fasta	91.6%	4397055	41.9
ERR209846.009.fasta	96.3%	2250745	44.1
ERR209846.010.fasta	97.2%	2185563	40.8
ERR209846.011.fasta	94.4%	2639064	37.5
ERR209846.012.fasta	97.2%	2391701	33.5
ERR209846.013.fasta	95.3%	2383450	31.6
ERR209846.014.fasta	75.7%	5544975	43.2
ERR209846.015.fasta	88.8%	2297709	55.5
ERR209846.016.fasta	96.3%	2866429	44.8
ERR209846.017.fasta	49.5%	6029936	38.1
ERR209846.018.fasta	63.6%	2784214	42.1
ERR209846.019.fasta	43.0%	2946921	58.5
ERR209846.020.fasta	66.4%	6960137	46.6
ERR209846.021.fasta	69.2%	2682230	49.6
ERR209846.022.fasta	94.4%	2508352	27.4
ERR209846.023.fasta	71.0%	1827999	41.1
ERR209846.024.fasta	15.9%	1565752	41.5
ERR209846.025.fasta	62.6%	2022011	52.1
ERR209846.026.fasta	21.5%	3381763	41.5
ERR209846.027.fasta	33.6%	2616939	52.1
ERR209846.028.fasta	81.3%	3024225	43.1
ERR209846.029.fasta	61.7%	5655813	38.0
ERR209846.030.fasta	40.2%	3700353	51.1
ERR209846.031.fasta	60.7%	5400488	44.6
ERR209846.032.fasta	17.8%	738680	58.8
ERR209846.033.fasta	62.6%	3810973	47.7
ERR209846.034.fasta	72.9%	4559627	33.0
ERR209846.035.fasta	73.8%	2086323	42.7
ERR209846.036.fasta	44.9%	744047	59.2
ERR209846.037.fasta	41.1%	2219155	42.0
ERR209846.038.fasta	58.9%	1884780	40.8
ERR209846.039.fasta	27.1%	471494	56.0
ERR209846.040.fasta	31.8%	1936249	44.8
Bin name	Completeness	Genome size	GC content
SRR5935765.001.fasta	97.2%	6947129	42.0
SRR5935765.002.fasta	99.1%	5671442	42.6
SRR5935765.003.fasta	98.1%	3203060	43.2
SRR5935765.004.fasta	48.6%	2209228	43.1
SRR5935765.005.fasta	59.8%	4224705	48.0
SRR5935765.006.fasta	42.1%	2686101	43.8
SRR5935765.007.fasta	51.4%	8585980	37.9
SRR5935765.008.fasta	48.6%	2557072	41.5
SRR5935765.009.fasta	55.1%	4926797	43.9
SRR5935765.010.fasta	47.7%	5819299	47.3
SRR5935765.011.fasta	64.5%	1423033	39.2
SRR5935765.012.fasta	47.7%	8419356	52.0
SRR5935765.013.fasta	56.1%	2050621	62.7
SRR5935765.014.fasta	73.8%	2561579	59.3
SRR5935765.015.fasta	37.4%	1842890	48.7
Bin name	Completeness	Genome size	GC content
SRR5935774.001.fasta	0.0%	210079	50.1
SRR5935774.002.fasta	98.1%	3079799	54.7
SRR5935774.003.fasta	93.5%	3958438	49.1
SRR5935774.004.fasta	98.1%	4072160	43.1
SRR5935774.005.fasta	96.3%	2728874	38.4
SRR5935774.006.fasta	87.9%	2397724	59.9
SRR5935774.007.fasta	93.5%	2204548	28.5
SRR5935774.008.fasta	42.1%	3641212	52.4
SRR5935774.009.fasta	72.9%	5039338	43.2
SRR5935774.010.fasta	64.5%	3173701	44.5
SRR5935774.011.fasta	84.1%	2349366	37.5
SRR5935774.012.fasta	36.4%	2185762	60.3
SRR5935774.013.fasta	88.8%	2217228	39.9
SRR5935774.014.fasta	78.5%	2674767	39.0
SRR5935774.015.fasta	41.1%	4634244	36.6
SRR5935774.016.fasta	41.1%	770803	44.4
SRR5935774.017.fasta	16.8%	482801	59.9
Bin name	Completeness	Genome size	GC content
SRR5935784.001.fasta	95.3%	3089802	55.4
SRR5935784.002.fasta	89.7%	5048423	42.1
SRR5935784.003.fasta	100.0%	5796869	42.3
SRR5935784.004.fasta	91.6%	4930965	46.6
SRR5935784.005.fasta	63.6%	3646932	41.4
SRR5935784.006.fasta	47.7%	4347372	43.7
SRR5935784.007.fasta	74.8%	7815263	47.7
SRR5935784.008.fasta	92.5%	3017185	43.0
SRR5935784.009.fasta	36.4%	6368775	37.7
SRR5935784.010.fasta	59.8%	1130184	42.6
SRR5935784.011.fasta	44.9%	5955469	43.9
SRR5935784.012.fasta	55.1%	2136781	58.9
SRR5935784.013.fasta	44.9%	1999533	60.2
Bin name	Completeness	Genome size	GC content
SRR5935789.001.fasta	49.5%	4376827	46.1
SRR5935789.002.fasta	83.2%	5229163	40.4
Bin name	Completeness	Genome size	GC content
SRR5935808.001.fasta	0.0%	396649	46.9
SRR5935808.002.fasta	97.2%	3923323	57.5
SRR5935808.003.fasta	87.9%	3735744	41.0
SRR5935808.004.fasta	93.5%	6116425	46.0
SRR5935808.005.fasta	76.6%	7121278	42.3
SRR5935808.006.fasta	94.4%	4457859	59.4
SRR5935808.007.fasta	77.6%	3663597	35.8
SRR5935808.008.fasta	72.9%	1799653	37.0
SRR5935808.009.fasta	71.0%	3717178	51.9
SRR5935808.010.fasta	35.5%	3407816	50.6
SRR5935808.011.fasta	57.0%	3758799	45.1
SRR5935808.012.fasta	42.1%	4462634	42.2
Bin name	Completeness	Genome size	GC content
SRR5935841.001.fasta	100.0%	5728191	42.4
SRR5935841.002.fasta	8.4%	1277596	44.0
SRR5935841.003.fasta	33.6%	3261604	38.0
SRR5935841.004.fasta	57.0%	6831201	44.4
SRR5935841.005.fasta	69.2%	2475886	50.4
SRR5935841.006.fasta	93.5%	6215078	49.6
SRR5935841.007.fasta	99.1%	2396249	61.4
SRR5935841.008.fasta	51.4%	2699051	43.8
Bin name	Completeness	Genome size	GC content
SRR5935875.001.fasta	97.2%	3495143	44.9
SRR5935875.002.fasta	85.0%	4210352	42.8
SRR5935875.003.fasta	87.9%	4713908	40.3
SRR5935875.004.fasta	81.3%	9330031	47.0
SRR5935875.005.fasta	77.6%	3474581	58.7
SRR5935875.006.fasta	63.6%	5631403	40.6
SRR5935875.007.fasta	57.9%	1435917	57.0
Bin name	Completeness	Genome size	GC content
SRR5935894.001.fasta	48.6%	1858892	49.4
SRR5935894.002.fasta	46.7%	4554629	49.2
SRR5935894.003.fasta	99.1%	2880711	37.8
SRR5935894.004.fasta	30.8%	2282109	50.6
SRR5935894.005.fasta	41.1%	2391948	52.3
SRR5935894.006.fasta	94.4%	6668291	48.6
SRR5935894.007.fasta	96.3%	2804801	27.7
SRR5935894.008.fasta	48.6%	5603057	51.4
SRR5935894.009.fasta	88.8%	4879531	43.7
SRR5935894.010.fasta	39.3%	4151226	58.2
SRR5935894.011.fasta	56.1%	7016945	51.1
SRR5935894.012.fasta	77.6%	3461022	36.5
Bin name	Completeness	Genome size	GC content
SRR5935898.001.fasta	77.6%	2031640	58.0
SRR5935898.002.fasta	99.1%	5454249	43.1
SRR5935898.003.fasta	42.1%	2156611	58.4
SRR5935898.004.fasta	43.9%	2124789	61.2
SRR5935898.005.fasta	22.4%	2762232	51.7
SRR5935898.006.fasta	59.8%	3131062	59.2
SRR5935898.007.fasta	68.2%	2285917	64.1
SRR5935898.008.fasta	58.9%	2893830	42.1
SRR5935898.009.fasta	99.1%	4599495	37.2
SRR5935898.010.fasta	62.6%	3141551	45.2
SRR5935898.011.fasta	65.4%	2213299	42.9
Bin name	Completeness	Genome size	GC content
SRR5935904.001.fasta	86.9%	5474459	42.4
SRR5935904.002.fasta	87.9%	7131344	41.5
SRR5935904.003.fasta	94.4%	4766416	45.2
SRR5935904.004.fasta	83.2%	4527307	46.9
SRR5935904.005.fasta	98.1%	2744223	41.0
SRR5935904.006.fasta	81.3%	5041291	41.9
SRR5935904.007.fasta	24.3%	6254185	39.8
SRR5935904.008.fasta	70.1%	5948702	47.6
Bin name	Completeness	Genome size	GC content
SRR5935916.001.fasta	0.0%	124094	43.8
SRR5935916.002.fasta	0.0%	409965	49.2
SRR5935916.003.fasta	50.5%	1974195	41.7
SRR5935916.004.fasta	53.3%	2582891	46.3
SRR5935916.005.fasta	55.1%	2471823	40.7
SRR5935916.006.fasta	74.8%	5740386	46.7
SRR5935916.007.fasta	98.1%	2424810	54.3
SRR5935916.008.fasta	90.7%	5815424	42.1
SRR5935916.009.fasta	95.3%	2946793	59.3
SRR5935916.010.fasta	76.6%	3990971	58.8
SRR5935916.011.fasta	68.2%	6842888	37.6
SRR5935916.012.fasta	84.1%	4473333	51.1
SRR5935916.013.fasta	64.5%	2819317	43.5
SRR5935916.014.fasta	15.0%	3512113	44.3
SRR5935916.015.fasta	69.2%	6786362	41.5
SRR5935916.016.fasta	75.7%	2334655	43.1
SRR5935916.017.fasta	52.3%	5730534	46.4
SRR5935916.018.fasta	85.0%	1879604	58.3
SRR5935916.019.fasta	53.3%	2756861	43.7
SRR5935916.020.fasta	35.5%	2608062	46.5
Bin name	Completeness	Genome size	GC content
SRR5935923.001.fasta	99.1%	5191226	43.0
SRR5935923.002.fasta	97.2%	4518759	42.8
SRR5935923.003.fasta	60.7%	3062189	42.7
SRR5935923.004.fasta	92.5%	2265287	57.7
SRR5935923.005.fasta	95.3%	3178865	41.3
SRR5935923.006.fasta	99.1%	3278850	37.2
SRR5935923.007.fasta	55.1%	2172304	35.9
SRR5935923.008.fasta	6.5%	1952667	51.6
SRR5935923.009.fasta	72.0%	3520056	59.3
SRR5935923.010.fasta	95.3%	2599063	43.5
SRR5935923.011.fasta	75.7%	3373217	44.5
SRR5935923.012.fasta	33.6%	2320612	36.8
SRR5935923.013.fasta	31.8%	1329296	62.8
SRR5935923.014.fasta	47.7%	2042180	49.4
SRR5935923.015.fasta	33.6%	1264617	54.1
Bin name	Completeness	Genome size	GC content
SRR5935931.001.fasta	96.3%	5818796	42.2
SRR5935931.002.fasta	93.5%	5085850	46.7
SRR5935931.003.fasta	92.5%	6540142	41.3
SRR5935931.004.fasta	98.1%	8506413	45.6
SRR5935931.005.fasta	43.0%	8171895	40.3
SRR5935931.006.fasta	69.2%	3452140	52.9
Bin name	Completeness	Genome size	GC content
SRR5936031.001.fasta	0.0%	150126	32.0
SRR5936031.002.fasta	0.0%	516408	44.2
SRR5936031.003.fasta	54.2%	2016619	41.7
SRR5936031.004.fasta	45.8%	3150208	42.3
SRR5936031.005.fasta	94.4%	4870388	44.3
SRR5936031.006.fasta	86.9%	3420286	57.9
SRR5936031.007.fasta	68.2%	2746620	59.6
SRR5936031.008.fasta	59.8%	5647323	47.2
SRR5936031.009.fasta	84.1%	5476473	45.2
